RCP,city,year,value
45,Budapest,2073,19.3503265380859
45,Budapest,2074,19.3582191467285
45,Budapest,2075,19.4214286804199
45,Budapest,2076,19.0524806976318
45,Budapest,2077,18.7967414855957
45,Budapest,2078,18.733024597168
45,Budapest,2079,18.7556571960449
45,Budapest,2080,18.866247177124
45,Budapest,2081,19.2738704681396
45,Budapest,2082,19.3210639953613
45,Budapest,2083,19.2886524200439
45,Budapest,2084,19.573600769043
45,Budapest,2085,19.5869369506836
45,London,1986,3.40300273895264
45,London,1987,3.61123061180115
45,London,1988,3.82390785217285
45,London,1989,3.86985111236572
45,London,1990,4.09460210800171
45,London,1991,4.10311698913574
45,London,1992,4.21344518661499
45,London,1993,4.36554527282715
45,London,1994,4.50945568084717
45,London,1995,4.81743478775024
45,London,1996,4.94215631484985
45,London,1997,5.15853595733643
45,London,1998,5.25237894058228
45,London,1999,5.48809957504272
45,London,2000,5.58375597000122
45,London,2001,5.92332220077515
45,London,2002,6.11919832229614
45,London,2003,6.0198392868042
45,London,2004,6.20523500442505
45,London,2005,6.513108253479
45,London,2006,6.56709814071655
45,London,2007,6.5614767074585
45,London,2008,6.61557197570801
45,London,2009,6.73484516143799
45,London,2010,6.83309936523438
45,London,2011,7.01013231277466
45,London,2012,7.34737873077393
45,London,2013,7.43894004821777
45,London,2014,7.79959344863892
45,London,2015,7.96408367156982
45,London,2016,7.9556827545166
45,London,2017,7.8100266456604
45,London,2018,7.73477792739868
45,London,2019,7.90543413162231
45,London,2020,7.78275394439697
45,London,2021,7.74111652374268
45,London,2022,7.851233959198
45,London,2023,7.90098476409912
45,London,2024,8.01928329467773
45,London,2025,8.06768035888672
45,London,2026,8.02626323699951
45,London,2027,8.26412200927734
45,London,2028,8.32840156555176
45,London,2029,8.2994499206543
45,London,2030,8.38523769378662
45,London,2031,7.98299407958984
45,London,2032,7.88110446929932
45,London,2033,8.16842746734619
45,London,2034,8.32273292541504
45,London,2035,8.2563533782959
45,London,2036,8.46308422088623
45,London,2037,8.88153553009033
45,London,2038,9.07091999053955
45,London,2039,9.22715282440186
45,London,2040,9.02690410614014
45,London,2041,9.17505264282227
45,London,2042,8.99784755706787
45,London,2043,9.19980430603027
45,London,2044,9.30760192871094
45,London,2045,9.30574989318848
45,London,2046,9.66832160949707
45,London,2047,9.78918933868408
45,London,2048,10.1683893203735
45,London,2049,10.3389024734497
45,London,2050,11.0095872879028
45,London,2051,11.4346933364868
45,London,2052,11.3120422363281
45,London,2053,11.458233833313
45,London,2054,11.4962358474731
45,London,2055,11.5752935409546
45,London,2056,11.9381513595581
45,London,2057,11.8691740036011
45,London,2058,12.0632276535034
45,London,2059,12.4528999328613
45,London,2060,12.5151176452637
45,London,2061,12.9425716400146
45,London,2062,13.1277561187744
45,London,2063,13.0153951644897
45,London,2064,12.6984510421753
45,London,2065,13.0734128952026
45,London,2066,13.2561807632446
45,London,2067,13.1583480834961
45,London,2068,13.1852760314941
45,London,2069,13.5623083114624
45,London,2070,13.7520475387573
45,London,2071,13.9393997192383
45,London,2072,14.0582723617554
45,London,2073,14.3813829421997
45,London,2074,14.3193759918213
45,London,2075,14.5215520858765
45,London,2076,14.0736522674561
45,London,2077,14.021409034729
45,London,2078,14.0608024597168
45,London,2079,14.029932975769
45,London,2080,13.919680595398
45,London,2081,13.8984975814819
45,London,2082,14.3507795333862
45,London,2083,14.3609638214111
45,London,2084,14.4230756759644
45,London,2085,14.4792413711548
45,Milan,1986,3.37965607643127
45,Milan,1987,3.49795508384705
45,Milan,1988,3.61394929885864
45,Milan,1989,3.44838118553162
45,Milan,1990,3.4022319316864
45,Milan,1991,3.59660077095032
45,Milan,1992,3.74895548820496
45,Milan,1993,3.95451760292053
45,Milan,1994,4.05479574203491
45,Milan,1995,4.29999446868896
45,Milan,1996,4.36536407470703
45,Milan,1997,4.67985248565674
45,Milan,1998,4.88207817077637
45,Milan,1999,5.07207202911377
45,Milan,2000,5.25956249237061
45,Milan,2001,5.4718542098999
45,Milan,2002,5.84267807006836
45,Milan,2003,5.83169317245483
45,Milan,2004,6.22659587860107
45,Milan,2005,6.44070863723755
45,Milan,2006,6.50963258743286
45,Milan,2007,6.52637815475464
45,Milan,2008,6.9409556388855
45,Milan,2009,7.27772378921509
45,Milan,2010,7.29864549636841
45,Milan,2011,7.53232574462891
45,Milan,2012,7.88373041152954
45,Milan,2013,8.45503807067871
45,Milan,2014,8.87912845611572
45,Milan,2015,9.00748348236084
45,Milan,2016,9.11334228515625
45,Milan,2017,9.32502174377441
45,Milan,2018,9.29301357269287
45,Milan,2019,9.65200042724609
45,Milan,2020,9.98046398162842
45,Milan,2021,9.94280624389648
45,Milan,2022,10.1595516204834
45,Milan,2023,10.3723392486572
45,Milan,2024,10.7244663238525
45,Milan,2025,11.611967086792
45,Milan,2026,12.0458345413208
45,Milan,2027,12.4063739776611
45,Milan,2028,12.8760204315186
45,Milan,2029,13.200366973877
45,Milan,2030,13.5530691146851
45,Milan,2031,14.0806827545166
45,Milan,2032,14.2023782730103
45,Milan,2033,15.5785369873047
45,Milan,2034,15.9846448898315
45,Milan,2035,16.3269653320312
45,Milan,2036,17.1561412811279
45,Milan,2037,17.8388118743896
45,Milan,2038,18.2494716644287
45,Milan,2039,18.7054500579834
45,Milan,2040,19.1858444213867
45,Milan,2041,20.1037578582764
45,Milan,2042,20.816722869873
45,Milan,2043,20.7566776275635
45,Milan,2044,21.0777683258057
45,Milan,2045,21.7164039611816
45,Milan,2046,22.3339004516602
45,Milan,2047,22.996410369873
45,Milan,2048,23.7160568237305
45,Milan,2049,24.4327239990234
45,Milan,2050,24.9187889099121
45,Milan,2051,25.6266956329346
45,Milan,2052,26.1686401367188
45,Milan,2053,26.6627902984619
45,Milan,2054,27.023904800415
45,Milan,2055,26.7106628417969
45,Milan,2056,26.7019958496094
45,Milan,2057,26.9053211212158
45,Milan,2058,26.8342018127441
45,Milan,2059,27.292516708374
45,Milan,2060,27.7945747375488
45,Milan,2061,28.0391712188721
45,Milan,2062,28.465389251709
45,Milan,2063,27.9820747375488
45,Milan,2064,27.6782817840576
45,Milan,2065,28.266960144043
45,Milan,2066,28.3097763061523
45,Milan,2067,28.6704254150391
45,Milan,2068,28.417724609375
45,Milan,2069,28.6439800262451
45,Milan,2070,29.0423774719238
45,Milan,2071,28.6116065979004
45,Milan,2072,28.8264331817627
45,Milan,2073,29.4881229400635
45,Milan,2074,29.6222763061523
45,Milan,2075,29.6611423492432
45,Milan,2076,29.6894016265869
45,Milan,2077,29.2485446929932
45,Milan,2078,29.2442893981934
45,Milan,2079,29.3752784729004
45,Milan,2080,29.7778034210205
45,Milan,2081,29.9985771179199
45,Milan,2082,30.2831573486328
45,Milan,2083,30.4009914398193
45,Milan,2084,30.564380645752
45,Milan,2085,30.4381542205811
45,Munich,1986,2.54558110237122
